,aantal_cilinders,emissiecode_omschrijving,jaar,cilinderinhoud
375,3.0,1.0,2005,923.0
376,3.0,1.0,2006,657.0
377,3.0,1.0,2007,657.0
378,3.0,1.0,2008,657.3333333333334
379,3.0,1.0,2009,1309.5
380,3.0,1.0,2010,993.0
381,3.0,1.0,2011,1190.0
382,3.0,1.0,2013,834.6666666666666
383,3.0,1.0,2014,656.0
384,3.0,1.0,2015,825.0
385,3.0,1.0,2016,657.0
386,3.0,1.0,2017,658.0
387,3.0,1.0,2018,657.0
388,3.0,1.0,2019,658.5
389,3.0,1.0,2020,713.1666666666666
390,3.0,1.0,2021,790.0
391,3.0,1.0,2022,923.1666666666666
392,3.0,1.0,2023,657.0
393,3.0,2.0,1995,1189.0
394,3.0,2.0,1996,892.6927710843373
395,3.0,2.0,1997,871.4419642857143
396,3.0,2.0,1998,884.1452991452992
397,3.0,2.0,1999,858.8197381671702
398,3.0,2.0,2000,845.485036119711
399,3.0,2.0,2001,895.2777777777778
400,3.0,2.0,2002,880.3939393939394
401,3.0,2.0,2003,795.2962962962963
402,3.0,2.0,2004,768.15
403,3.0,2.0,2005,814.625
404,3.0,2.0,2006,875.4666666666667
405,3.0,2.0,2007,870.3333333333334
406,3.0,2.0,2008,936.5
407,3.0,2.0,2009,874.1428571428571
408,3.0,2.0,2010,978.0
409,3.0,2.0,2011,887.3333333333334
410,3.0,2.0,2012,973.0
411,3.0,2.0,2013,919.8333333333334
412,3.0,2.0,2014,858.0
413,3.0,2.0,2015,781.0
414,3.0,2.0,2016,794.2727272727273
415,3.0,2.0,2017,859.0
416,3.0,2.0,2018,934.3333333333334
417,3.0,2.0,2019,698.6666666666666
418,3.0,2.0,2020,879.5
419,3.0,2.0,2021,814.625
420,3.0,2.0,2022,681.2
421,3.0,2.0,2023,973.0
422,3.0,4.0,1999,1191.0
423,3.0,4.0,2000,881.1020408163265
424,3.0,4.0,2001,813.393690851735
425,3.0,4.0,2002,839.5693365212194
426,3.0,4.0,2003,903.3319536423841
427,3.0,4.0,2004,843.3373702422145
428,3.0,4.0,2005,845.8721374045801
429,3.0,4.0,2006,1076.56
430,3.0,4.0,2007,1061.2125
431,3.0,4.0,2008,1060.3037974683543
432,3.0,4.0,2009,1112.525
433,3.0,4.0,2010,1103.7359413202935
434,3.0,4.0,2011,1095.1291390728477
435,3.0,4.0,2012,1122.4041095890411
436,3.0,4.0,2013,1133.88
437,3.0,4.0,2014,1143.070938215103
438,3.0,4.0,2015,1124.4492307692308
439,3.0,4.0,2016,1097.121739130435
440,3.0,4.0,2017,1086.8260869565217
