,jaar,maand,merk,aantal,cum aantal,datum
256,1962,1,RENAULT,3,111,1962-01-01
257,1962,1,VOLKSWAGEN,11,419,1962-01-01
258,1962,1,VOLVO,8,145,1962-01-01
259,1962,2,RENAULT,1,112,1962-02-01
260,1962,2,VOLKSWAGEN,12,431,1962-02-01
261,1962,2,VOLVO,6,151,1962-02-01
262,1962,3,BMW,1,40,1962-03-01
263,1962,3,RENAULT,2,114,1962-03-01
264,1962,3,VOLKSWAGEN,12,443,1962-03-01
265,1962,3,VOLVO,4,155,1962-03-01
266,1962,4,BMW,1,41,1962-04-01
267,1962,4,RENAULT,2,116,1962-04-01
268,1962,4,VOLKSWAGEN,11,454,1962-04-01
269,1962,4,VOLVO,10,165,1962-04-01
270,1962,5,BMW,2,43,1962-05-01
271,1962,5,RENAULT,2,118,1962-05-01
272,1962,5,VOLKSWAGEN,5,459,1962-05-01
273,1962,5,VOLVO,5,170,1962-05-01
274,1962,6,VOLKSWAGEN,13,472,1962-06-01
275,1962,6,VOLVO,7,177,1962-06-01
276,1962,7,BMW,1,44,1962-07-01
277,1962,7,RENAULT,2,120,1962-07-01
278,1962,7,VOLKSWAGEN,9,481,1962-07-01
279,1962,7,VOLVO,6,183,1962-07-01
280,1962,8,BMW,3,47,1962-08-01
281,1962,8,RENAULT,1,121,1962-08-01
282,1962,8,VOLKSWAGEN,5,486,1962-08-01
283,1962,8,VOLVO,3,186,1962-08-01
284,1962,9,BMW,1,48,1962-09-01
285,1962,9,VOLKSWAGEN,10,496,1962-09-01
286,1962,9,VOLVO,4,190,1962-09-01
287,1962,10,RENAULT,2,123,1962-10-01
288,1962,10,VOLKSWAGEN,10,506,1962-10-01
289,1962,10,VOLVO,2,192,1962-10-01
290,1962,11,BMW,1,49,1962-11-01
291,1962,11,VOLKSWAGEN,12,518,1962-11-01
292,1962,11,VOLVO,8,200,1962-11-01
293,1962,12,VOLKSWAGEN,7,525,1962-12-01
294,1962,12,VOLVO,4,204,1962-12-01
295,1963,1,RENAULT,1,124,1963-01-01
296,1963,1,VOLKSWAGEN,7,532,1963-01-01
297,1963,1,VOLVO,3,207,1963-01-01
298,1963,2,VOLKSWAGEN,9,541,1963-02-01
299,1963,2,VOLVO,2,209,1963-02-01
300,1963,3,VOLKSWAGEN,16,557,1963-03-01
301,1963,3,VOLVO,10,219,1963-03-01
302,1963,4,BMW,4,53,1963-04-01
303,1963,4,RENAULT,2,126,1963-04-01
304,1963,4,VOLKSWAGEN,15,572,1963-04-01
305,1963,4,VOLVO,10,229,1963-04-01
306,1963,5,BMW,1,54,1963-05-01
307,1963,5,VOLKSWAGEN,18,590,1963-05-01
308,1963,5,VOLVO,15,244,1963-05-01
309,1963,6,RENAULT,1,127,1963-06-01
310,1963,6,VOLKSWAGEN,12,602,1963-06-01
311,1963,6,VOLVO,19,263,1963-06-01
312,1963,7,VOLKSWAGEN,18,620,1963-07-01
313,1963,7,VOLVO,14,277,1963-07-01
314,1963,8,RENAULT,1,128,1963-08-01
315,1963,8,VOLKSWAGEN,5,625,1963-08-01
316,1963,8,VOLVO,5,282,1963-08-01
317,1963,9,VOLKSWAGEN,13,638,1963-09-01
318,1963,9,VOLVO,9,291,1963-09-01
319,1963,10,VOLKSWAGEN,8,646,1963-10-01
320,1963,10,VOLVO,15,306,1963-10-01
321,1963,11,BMW,1,55,1963-11-01
322,1963,11,RENAULT,1,129,1963-11-01
323,1963,11,VOLKSWAGEN,9,655,1963-11-01
324,1963,11,VOLVO,6,312,1963-11-01
325,1963,12,RENAULT,2,131,1963-12-01
326,1963,12,VOLKSWAGEN,9,664,1963-12-01
327,1963,12,VOLVO,4,316,1963-12-01
328,1964,1,VOLKSWAGEN,14,678,1964-01-01
329,1964,1,VOLVO,15,331,1964-01-01
330,1964,2,RENAULT,1,132,1964-02-01
331,1964,2,VOLKSWAGEN,15,693,1964-02-01
332,1964,2,VOLVO,14,345,1964-02-01
333,1964,3,RENAULT,2,134,1964-03-01
334,1964,3,VOLKSWAGEN,13,706,1964-03-01
