,brandstof_omschrijving,cum aantal,datum
3020,Waterstof,81,2021-12-01
3021,Alcohol,3471,2022-01-01
3022,Benzine,7379825,2022-01-01
3023,CNG,6883,2022-01-01
3024,Diesel,929407,2022-01-01
3025,Elektriciteit,538864,2022-01-01
3026,LPG,39337,2022-01-01
3027,Waterstof,85,2022-01-01
3028,Alcohol,3488,2022-02-01
3029,Benzine,7406931,2022-02-01
3030,CNG,6893,2022-02-01
3031,Diesel,931990,2022-02-01
3032,Elektriciteit,552502,2022-02-01
3033,LPG,39350,2022-02-01
3034,Waterstof,86,2022-02-01
3035,Alcohol,3501,2022-03-01
3036,Benzine,7433439,2022-03-01
3037,CNG,6901,2022-03-01
3038,Diesel,934793,2022-03-01
3039,Elektriciteit,569450,2022-03-01
3040,LPG,39372,2022-03-01
3041,Waterstof,87,2022-03-01
3042,Alcohol,3508,2022-04-01
3043,Benzine,7457928,2022-04-01
3044,CNG,6914,2022-04-01
3045,Diesel,937610,2022-04-01
3046,Elektriciteit,584545,2022-04-01
3047,LPG,39393,2022-04-01
3048,Waterstof,89,2022-04-01
3049,Alcohol,3521,2022-05-01
3050,Benzine,7483800,2022-05-01
3051,CNG,6921,2022-05-01
3052,Diesel,940149,2022-05-01
3053,Elektriciteit,599457,2022-05-01
3054,LPG,39410,2022-05-01
3055,Waterstof,92,2022-05-01
3056,Alcohol,3532,2022-06-01
3057,Benzine,7513836,2022-06-01
3058,CNG,6932,2022-06-01
3059,Diesel,942681,2022-06-01
3060,Elektriciteit,617985,2022-06-01
3061,LPG,39422,2022-06-01
3062,Waterstof,96,2022-06-01
3063,Alcohol,3543,2022-07-01
3064,Benzine,7539615,2022-07-01
3065,CNG,6941,2022-07-01
3066,Diesel,945158,2022-07-01
3067,Elektriciteit,631804,2022-07-01
3068,LPG,39447,2022-07-01
3069,Alcohol,3553,2022-08-01
3070,Benzine,7564706,2022-08-01
3071,CNG,6947,2022-08-01
3072,Diesel,947106,2022-08-01
3073,Elektriciteit,646682,2022-08-01
3074,LPG,39473,2022-08-01
3075,Waterstof,98,2022-08-01
3076,Alcohol,3565,2022-09-01
3077,Benzine,7590011,2022-09-01
3078,CNG,6963,2022-09-01
3079,Diesel,948841,2022-09-01
3080,Elektriciteit,663596,2022-09-01
3081,LPG,39502,2022-09-01
3082,Waterstof,100,2022-09-01
3083,Alcohol,3574,2022-10-01
3084,Benzine,7616254,2022-10-01
3085,CNG,6983,2022-10-01
3086,Diesel,950441,2022-10-01
3087,Elektriciteit,683096,2022-10-01
3088,LPG,39526,2022-10-01
3089,Waterstof,103,2022-10-01
3090,Alcohol,3588,2022-11-01
3091,Benzine,7642325,2022-11-01
3092,CNG,6996,2022-11-01
3093,Diesel,951993,2022-11-01
3094,Elektriciteit,702198,2022-11-01
3095,LPG,39547,2022-11-01
3096,Waterstof,105,2022-11-01
3097,Alcohol,3597,2022-12-01
3098,Benzine,7667014,2022-12-01
3099,CNG,7011,2022-12-01
3100,Diesel,953522,2022-12-01
3101,Elektriciteit,725833,2022-12-01
3102,LPG,39563,2022-12-01
3103,Waterstof,107,2022-12-01
3104,Alcohol,3610,2023-01-01
3105,Benzine,7698904,2023-01-01
3106,CNG,7019,2023-01-01
3107,Diesel,955154,2023-01-01
3108,Elektriciteit,745848,2023-01-01
3109,LPG,39578,2023-01-01
3110,Waterstof,109,2023-01-01
3111,Alcohol,3618,2023-02-01
3112,Benzine,7724091,2023-02-01
3113,CNG,7026,2023-02-01
3114,Diesel,956849,2023-02-01
3115,Elektriciteit,766503,2023-02-01
3116,LPG,39592,2023-02-01
3117,Alcohol,3620,2023-03-01
3118,Benzine,7735482,2023-03-01
3119,CNG,7032,2023-03-01
3120,Diesel,957779,2023-03-01
3121,Elektriciteit,777067,2023-03-01
3122,LPG,39600,2023-03-01
3123,Waterstof,110,2023-03-01
